,rank,added_at,title,artist,isrc,velocity,cm_id,time_on_chart,release_dates,cm artist id,spotify followers-jan 5,spotify followers-dec 6,Max Weekly Velocity,artist popularity index
12,13,2020-01-05T00:00:00.000Z,My Friends,Mr_hotspot,TCACT1682669,,14398293.0,30,['2016-11-21T00:00:00.000Z'],276544.0,21657.0,23885.0,7.428571428571429,emerging
13,14,2020-01-05T00:00:00.000Z,My Oh My,Camila Cabello,USSM11914257,-1.0,27597895.0,30,"['2019-12-06T00:00:00.000Z', '2020-05-01T00:00:00.000Z']",454302.0,14038861.0,18947098.0,41.5714285714286,established
15,16,2020-01-05T00:00:00.000Z,Fuck It up (feat. Yg),Kamaiyah,TCACN1619441,-0.7142857142857142,14357947.0,17,['2016-03-23T00:00:00.000Z'],207293.0,88931.0,121839.0,-0.7142857142857142,established
19,20,2020-01-05T00:00:00.000Z,Absolutely Anything (feat. Or3o),Charlie Green (CG5),QZAPG1755724,0.42857142857142894,17949401.0,121,"['2017-12-25T00:00:00.000Z', '2019-12-10T00:00:00.000Z']",,,,5.71428571428571,emerging
21,22,2020-01-05T00:00:00.000Z,Pretty Girl (Cheat Codes X Cade Remix),Cheat Codes,QMCE31701175,,13842155.0,98,['2017-03-02T00:00:00.000Z'],206343.0,1448794.0,1743926.0,,established
22,23,2020-01-05T00:00:00.000Z,A.M.,Lonr,USSM11906015,,25173511.0,10,"['2019-09-13T00:00:00.000Z', '2020-04-24T00:00:00.000Z', '2020-08-28T00:00:00.000Z']",,,,-8.28571428571429,emerging
23,24,2020-01-05T00:00:00.000Z,Can We Kiss Forever?,kinabeats,QMPKX1823521,0.0,20497349.0,102,['2018-08-31T00:00:00.000Z'],,,,6.71428571428571,emerging
25,26,2020-01-05T00:00:00.000Z,Personal,Harvey,GBUM71705474,-1.42857142857143,17799080.0,112,"['2018-01-19T00:00:00.000Z', '2017-11-30T00:00:00.000Z', '2020-02-28T00:00:00.000Z', '2020-04-10T00:00:00.000Z', '2020-05-08T00:00:00.000Z', '2020-05-08T00:00:00.000Z', '2020-05-08T00:00:00.000Z', '2020-05-08T00:00:00.000Z', '2020-05-15T00:00:00.000Z', '2020-05-22T00:00:00.000Z', '2020-05-22T00:00:00.000Z', '2020-06-12T00:00:00.000Z', '2020-03-13T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-07-03T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-08-05T00:00:00.000Z', '2020-08-07T00:00:00.000Z', '2020-08-14T00:00:00.000Z', '2020-09-04T00:00:00.000Z', '2020-09-08T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-10-09T00:00:00.000Z', '2020-10-28T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-23T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z']",,,,3.4285714285714306,emerging
27,28,2020-01-05T00:00:00.000Z,This City,Sam Fischer,TCADL1840559,0.857142857142857,18232032.0,65,"['2018-01-19T00:00:00.000Z', '2019-12-13T00:00:00.000Z', '2020-01-10T00:00:00.000Z', '2020-05-08T00:00:00.000Z', '2020-05-28T00:00:00.000Z', '2020-05-28T00:00:00.000Z', '2020-07-03T00:00:00.000Z', '2020-07-10T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-08-14T00:00:00.000Z', '2020-08-28T00:00:00.000Z']",568782.0,11398.0,67683.0,11.142857142857098,emerging
28,29,2020-01-05T00:00:00.000Z,Not What I Meant (feat. Lewis Watson),dodie,QM6N21808970,,22030900.0,8,['2019-01-18T00:00:00.000Z'],132642.0,603167.0,792230.0,,established
29,30,2020-01-05T00:00:00.000Z,Cash Shit (feat. DaBaby),Megan Thee Stallion,QMCE31902212,-2.42857142857143,23214451.0,53,['2019-05-17T00:00:00.000Z'],788785.0,630260.0,2628012.0,-2.42857142857143,established
31,32,2020-01-05T00:00:00.000Z,Genie in a Bottle,Christina Aguilera,USRC19900032,-0.28571428571428603,15684212.0,10,"['2014-11-17T00:00:00.000Z', '2010-03-05T00:00:00.000Z', '2017-01-27T00:00:00.000Z', '2010-02-26T00:00:00.000Z', '2014-11-28T00:00:00.000Z', '1999-01-01T00:00:00.000Z', '1999-01-01T00:00:00.000Z', '2012-09-07T00:00:00.000Z', '2010-01-01T00:00:00.000Z', '2014-03-21T00:00:00.000Z', '2009-09-21T00:00:00.000Z', '2014-10-30T00:00:00.000Z', '2002-03-25T00:00:00.000Z', '2010-09-10T00:00:00.000Z', '1999-01-01T00:00:00.000Z', '2014-10-30T00:00:00.000Z', '2006-08-28T00:00:00.000Z', '2007-10-01T00:00:00.000Z', '2014-08-22T00:00:00.000Z', '2008-04-29T00:00:00.000Z', '2013-10-18T00:00:00.000Z', '2011-01-01T00:00:00.000Z', '2014-06-10T00:00:00.000Z', '2008-11-10T00:00:00.000Z', '2008-11-06T00:00:00.000Z', '1999-01-01T00:00:00.000Z', '1999-08-24T00:00:00.000Z', '2015-02-20T00:00:00.000Z', '2006-01-01T00:00:00.000Z', '2016-06-24T00:00:00.000Z', '2015-10-23T00:00:00.000Z', '2009-09-30T00:00:00.000Z', '1999-01-01T00:00:00.000Z', '2008-11-07T00:00:00.000Z', '2010-12-10T00:00:00.000Z', '2018-06-22T00:00:00.000Z', '2013-02-25T00:00:00.000Z', '2019-02-01T00:00:00.000Z', '2001-11-20T00:00:00.000Z', '1999-07-15T00:00:00.000Z', '1999-02-03T00:00:00.000Z', '2019-02-15T00:00:00.000Z', '2019-10-04T00:00:00.000Z', '2019-04-19T00:00:00.000Z', '2020-03-06T00:00:00.000Z', '2020-11-13T00:00:00.000Z']",166.0,4785020.0,5620368.0,-0.28571428571428603,established
32,33,2020-01-05T00:00:00.000Z,Lip Gloss,Lil Mama,USJI10700087,-0.14285714285714302,15446910.0,61,['2007-03-06T00:00:00.000Z'],211940.0,50901.0,57502.0,13.5714285714286,emerging
33,34,2020-01-05T00:00:00.000Z,Dance Monkey,Tones And I,QZES71982312,0.14285714285714302,22955238.0,88,"['2019-05-10T00:00:00.000Z', '2019-05-10T00:00:00.000Z', '2019-08-08T00:00:00.000Z', '2019-08-29T00:00:00.000Z', '2019-10-17T00:00:00.000Z', '2019-11-01T00:00:00.000Z', '2019-10-17T00:00:00.000Z', '2019-08-30T00:00:00.000Z', '2019-11-22T00:00:00.000Z', '2019-12-20T00:00:00.000Z', '2019-12-27T00:00:00.000Z', '2019-12-27T00:00:00.000Z', '2020-01-24T00:00:00.000Z', '2020-01-24T00:00:00.000Z', '2020-01-24T00:00:00.000Z', '2020-02-07T00:00:00.000Z', '2020-03-20T00:00:00.000Z', '2020-03-27T00:00:00.000Z', '2020-04-03T00:00:00.000Z', '2020-04-07T00:00:00.000Z', '2020-04-13T00:00:00.000Z', '2020-04-24T00:00:00.000Z', '2020-05-01T00:00:00.000Z', '2020-05-08T00:00:00.000Z', '2020-05-22T00:00:00.000Z', '2020-05-29T00:00:00.000Z', '2020-05-29T00:00:00.000Z', '2020-05-29T00:00:00.000Z', '2020-06-12T00:00:00.000Z', '2020-06-19T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-07-01T00:00:00.000Z', '2020-07-01T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-08-06T00:00:00.000Z', '2020-08-07T00:00:00.000Z', '2020-08-14T00:00:00.000Z', '2020-08-13T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-09-04T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-10-09T00:00:00.000Z', '2020-10-09T00:00:00.000Z', '2020-10-16T00:00:00.000Z', '2020-10-16T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-07T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-19T00:00:00.000Z', '2020-12-19T00:00:00.000Z', '2020-12-19T00:00:00.000Z', '2020-12-25T00:00:00.000Z', '2020-12-25T00:00:00.000Z', '2020-12-25T00:00:00.000Z']",1410939.0,436052.0,2388886.0,12.4285714285714,established
35,36,2020-01-05T00:00:00.000Z,Stolen Dance,Milky Chance,DEL211300741,0.28571428571428603,11615710.0,62,"['2014-05-12T00:00:00.000Z', '2014-06-29T00:00:00.000Z', '2013-11-11T00:00:00.000Z', '2014-05-20T00:00:00.000Z', '2014-05-16T00:00:00.000Z', '2014-05-12T00:00:00.000Z', '2014-03-27T00:00:00.000Z', '2013-10-01T00:00:00.000Z', '2013-10-18T00:00:00.000Z', '2014-02-10T00:00:00.000Z', '2014-01-22T00:00:00.000Z', '2013-11-11T00:00:00.000Z', '2014-07-04T00:00:00.000Z', '2014-04-29T00:00:00.000Z', '2013-01-01T00:00:00.000Z', '2013-01-01T00:00:00.000Z', '2015-01-23T00:00:00.000Z', '2014-05-09T00:00:00.000Z', '2014-10-14T00:00:00.000Z', '2014-06-20T00:00:00.000Z', '2014-01-20T00:00:00.000Z']",4566.0,1227219.0,1418573.0,10.7142857142857,established
37,38,2020-01-05T00:00:00.000Z,How About Now (Freestyle),Bryson Tiller,QZ22B2028190,1.0,24524161.0,60,"['2018-11-21T00:00:00.000Z', '2018-11-14T00:00:00.000Z']",5315.0,3816619.0,4482474.0,10.1428571428571,established
38,39,2020-01-05T00:00:00.000Z,Toxic,Britney Spears,USJI10301005,1.0,15445966.0,92,"['2004-10-25T00:00:00.000Z', '2005-09-26T00:00:00.000Z', '2004-01-29T00:00:00.000Z', '2010-02-26T00:00:00.000Z', '2003-11-17T00:00:00.000Z', '2004-11-09T00:00:00.000Z', '2003-11-17T00:00:00.000Z', '2003-01-01T00:00:00.000Z', '2014-03-21T00:00:00.000Z', '2014-04-14T00:00:00.000Z', '2004-11-08T00:00:00.000Z', '2003-01-01T00:00:00.000Z', '2004-01-01T00:00:00.000Z', '2018-03-02T00:00:00.000Z', '2012-10-26T00:00:00.000Z', '2019-04-12T00:00:00.000Z', '2019-06-28T00:00:00.000Z', '2018-12-14T00:00:00.000Z', '2019-04-12T00:00:00.000Z', '2020-11-20T00:00:00.000Z']",199.0,6842906.0,8077588.0,6.28571428571429,established
39,40,2020-01-05T00:00:00.000Z,Castle on the Hill - Throttle Remix,Ed Sheeran,GBAHS1600462,19.2857142857143,12450038.0,51,"['2017-04-07T00:00:00.000Z', '2017-03-03T00:00:00.000Z', '2017-08-04T00:00:00.000Z', '2017-01-06T00:00:00.000Z']",3648.0,56888511.0,72801362.0,19.2857142857143,established
40,41,2020-01-05T00:00:00.000Z,Золото - Rakurs & Ramirez Remix,Мари Краймбрери ,FR59R1930256,0.14285714285714302,24199241.0,196,['2019-06-18T00:00:00.000Z'],,,,12.5714285714286,emerging
41,42,2020-01-05T00:00:00.000Z,Lil Boat,88GLAM,USUM71819079,-0.7142857142857142,21918001.0,36,"['2018-11-09T00:00:00.000Z', '2018-11-16T00:00:00.000Z', '2018-11-16T00:00:00.000Z', '2019-04-12T00:00:00.000Z']",772390.0,215902.0,320202.0,16.0,established
43,44,2020-01-05T00:00:00.000Z,Chinese New Year,SALES,TCACA1408234,2.14285714285714,14305220.0,77,['2014-09-22T00:00:00.000Z'],209706.0,185516.0,325790.0,14.5714285714286,established
44,45,2020-01-05T00:00:00.000Z,All I Want by Olivia Rodrigo,Alyssa Elness 🦋,USWD11995182,0.7142857142857142,27528385.0,42,"['2019-11-27T00:00:00.000Z', '2020-01-10T00:00:00.000Z', '2020-02-12T00:00:00.000Z', '2020-02-14T00:00:00.000Z']",,,,14.5714285714286,emerging
45,46,2020-01-05T00:00:00.000Z,Go Fuck Yourself,TwoFeet official,DEVF11600016,1.7142857142857097,11773070.0,132,['2016-07-29T00:00:00.000Z'],,,,16.2857142857143,emerging
46,47,2020-01-05T00:00:00.000Z,Buttercup,MixAndMash,QZFZ71995894,-2.0,26007072.0,173,['2019-08-22T00:00:00.000Z'],3378133.0,2651.0,6372.0,16.571428571428598,emerging
47,48,2020-01-05T00:00:00.000Z,Graduation,benny blanco,USUM71916692,0.5714285714285711,25018317.0,131,"['2019-08-30T00:00:00.000Z', '2019-08-30T00:00:00.000Z', '2019-10-24T00:00:00.000Z', '2020-08-14T00:00:00.000Z', '2020-11-16T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-16T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z']",1118101.0,451284.0,667863.0,0.5714285714285711,established
49,50,2020-01-05T00:00:00.000Z,Take a selfie,bonquiqui,USDM31400016,-1.0,15237614.0,62,"['2014-01-01T00:00:00.000Z', '2014-06-03T00:00:00.000Z', '2014-01-01T00:00:00.000Z', '2014-04-07T00:00:00.000Z', '2014-01-01T00:00:00.000Z', '2014-06-13T00:00:00.000Z', '2014-01-28T00:00:00.000Z', '2016-11-25T00:00:00.000Z', '2014-01-01T00:00:00.000Z', '2014-04-18T00:00:00.000Z', '2014-01-01T00:00:00.000Z', '2014-06-16T00:00:00.000Z', '2014-01-01T00:00:00.000Z', '2014-01-01T00:00:00.000Z', '2014-01-01T00:00:00.000Z', '2014-02-28T00:00:00.000Z', '2014-05-02T00:00:00.000Z', '2014-05-23T00:00:00.000Z', '2019-12-27T00:00:00.000Z', '2019-12-27T00:00:00.000Z', '2020-01-03T00:00:00.000Z', '2019-11-01T00:00:00.000Z', '2020-02-28T00:00:00.000Z', '2020-04-03T00:00:00.000Z', '2020-04-10T00:00:00.000Z', '2020-06-05T00:00:00.000Z', '2020-06-05T00:00:00.000Z', '2020-06-12T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-08-07T00:00:00.000Z']",,,,-1.0,emerging
